problem,activation,topology,epochs,train_loss,test_loss,train_accuracy,test_accuracy
Easy,ReLU,2-8-1,100,0.301389,0.219969,0.860000,0.915000
Easy,GeLU,2-8-1,100,0.308626,0.220363,0.857500,0.915000
Easy,Sigmoid,2-8-1,100,0.337934,0.272165,0.855000,0.910000
Easy,TanH,2-8-1,100,0.304938,0.214499,0.865000,0.925000
Easy,Swish,2-8-1,100,0.307051,0.219982,0.856250,0.915000
Easy,Identity,2-8-1,100,0.304023,0.213590,0.857500,0.920000
Medium,ReLU,2-8-8-1,150,0.081245,0.077860,0.990000,0.990000
Medium,GeLU,2-8-8-1,150,0.050277,0.050968,0.991250,0.990000
Medium,Sigmoid,2-8-8-1,150,0.693599,0.692575,0.497500,0.555000
Medium,TanH,2-8-8-1,150,0.271101,0.271040,0.988750,0.985000
Medium,Swish,2-8-8-1,150,0.055683,0.056776,0.992500,0.990000
Medium,Identity,2-8-8-1,150,0.693110,0.693667,0.511250,0.510000
Hard,ReLU,6-16-16-1,250,0.672481,0.703285,0.582500,0.520000
Hard,GeLU,6-16-16-1,250,0.676409,0.703174,0.555000,0.445000
Hard,Sigmoid,6-16-16-1,250,0.688968,0.694833,0.543750,0.530000
Hard,TanH,6-16-16-1,250,0.679332,0.700242,0.541250,0.505000
Hard,Swish,6-16-16-1,250,0.676696,0.700892,0.536250,0.470000
Hard,Identity,6-16-16-1,250,0.685060,0.696788,0.515000,0.500000
